Selection column	Selection value	Category column	Category value	Total size	Selection size	Category size	Intersection size	Enrichment factor	P value	Benj. Hoch. FDR
Cluster	Cluster -810	GOBP	GO:0034645	3278	364	662	121	1.646	1.8679E-10	9.6266E-08
Cluster	Cluster -810	GOCC	GO:0005730	3278	364	411	75	1.6433	1.3161E-06	0.00012264
Cluster	Cluster -810	GOCC name	nucleolus	3278	364	411	75	1.6433	1.3161E-06	0.00012264
Cluster	Cluster -810	GOBP	GO:0043933	3278	364	551	100	1.6344	1.9125E-08	6.8992E-06
Cluster	Cluster -810	GOBP name	macromolecular complex subunit organization	3278	364	551	100	1.6344	1.9125E-08	6.8992E-06
Cluster	Cluster -810	GOBP	GO:0009059	3278	364	667	121	1.6337	3.1305E-10	1.5577E-07
Cluster	Cluster -810	GOBP name	macromolecule biosynthetic process	3278	364	667	121	1.6337	3.1305E-10	1.5577E-07
Cluster	Cluster -808	GOCC	GO:0043230	3278	448	1067	237	1.6252	3.8601E-22	1.5826E-19
Cluster	Cluster -808	GOCC	GO:0065010	3278	448	1067	237	1.6252	3.8601E-22	1.5826E-19
Cluster	Cluster -808	GOCC name	extracellular membrane-bounded organelle	3278	448	1067	237	1.6252	3.8601E-22	1.5826E-19
Cluster	Cluster -808	GOCC name	extracellular organelle	3278	448	1067	237	1.6252	3.8601E-22	1.5826E-19
Cluster	Cluster -808	GOCC name	extracellular vesicular exosome	3278	448	1067	237	1.6252	3.8601E-22	1.5826E-19
Cluster	Cluster -808	GOCC	GO:0070062	3278	448	1067	237	1.6252	3.8601E-22	1.5826E-19
Cluster	Cluster -808	GOCC name	extracellular region part	3278	448	1125	247	1.6065	1.0731E-22	1.5826E-19
Cluster	Cluster -808	GOCC	GO:0044421	3278	448	1125	247	1.6065	1.0731E-22	1.5826E-19
Cluster	Cluster -808	GOCC name	vesicle	3278	448	1136	248	1.5974	2.0314E-22	1.5826E-19
Cluster	Cluster -808	GOCC	GO:0031982	3278	448	1136	248	1.5974	2.0314E-22	1.5826E-19
Cluster	Cluster -808	GOCC name	membrane-bounded vesicle	3278	448	1122	244	1.5912	1.3458E-21	4.5982E-19
Cluster	Cluster -808	GOCC	GO:0031988	3278	448	1122	244	1.5912	1.3458E-21	4.5982E-19
Cluster	Cluster -810	GOCC	GO:0030054	3278	364	307	54	1.584	0.00011131	0.0047538
Cluster	Cluster -810	GOCC name	cell junction	3278	364	307	54	1.584	0.00011131	0.0047538
Cluster	Cluster -810	GOBP	GO:0044249	3278	364	996	171	1.5461	6.5389E-13	3.9315E-10
Cluster	Cluster -810	GOBP name	cellular biosynthetic process	3278	364	996	171	1.5461	6.5389E-13	3.9315E-10
Cluster	Cluster -810	GOBP name	biosynthetic process	3278	364	1023	172	1.5141	4.1146E-12	2.375E-09
Cluster	Cluster -810	GOBP	GO:0009058	3278	364	1023	172	1.5141	4.1146E-12	2.375E-09
Cluster	Cluster -808	GOCC name	mitochondrion	3278	448	504	104	1.5098	7.3435E-07	7.1686E-05
Cluster	Cluster -808	GOCC	GO:0005739	3278	448	504	104	1.5098	7.3435E-07	7.1686E-05
Cluster	Cluster -810	GOMF name	nucleic acid binding	3278	364	751	121	1.451	5.0351E-07	0.00036001
Cluster	Cluster -810	GOMF	GO:0003676	3278	364	751	121	1.451	5.0351E-07	0.00036001
Cluster	Cluster -808	GOBP	GO:0044281	3278	448	767	151	1.4405	2.6269E-08	8.615E-06
Cluster	Cluster -808	GOBP name	small molecule metabolic process	3278	448	767	151	1.4405	2.6269E-08	8.615E-06
Cluster	Cluster -808	GOCC name	mitochondrial part	3278	448	390	76	1.4259	0.00016584	0.0063245
Cluster	Cluster -808	GOCC	GO:0044429	3278	448	390	76	1.4259	0.00016584	0.0063245
Cluster	Cluster -810	GOBP	GO:0016070	3278	364	876	138	1.4187	2.1446E-07	5.5263E-05
Cluster	Cluster -810	GOBP name	RNA metabolic process	3278	364	876	138	1.4187	2.1446E-07	5.5263E-05
Cluster	Cluster -810	GOBP	GO:0006139	3278	364	1183	183	1.3931	1.4629E-09	5.9485E-07
Cluster	Cluster -810	GOBP name	nucleobase-containing compound metabolic process	3278	364	1183	183	1.3931	1.4629E-09	5.9485E-07
Cluster	Cluster -810	GOBP name	nucleic acid metabolic process	3278	364	1039	159	1.3781	1.0608E-07	3.1891E-05
Cluster	Cluster -810	GOBP	GO:0090304	3278	364	1039	159	1.3781	1.0608E-07	3.1891E-05
Cluster	Cluster -810	GOCC name	non-membrane-bounded organelle	3278	364	908	138	1.3687	1.9203E-06	0.00014726
Cluster	Cluster -810	GOCC	GO:0043232	3278	364	908	138	1.3687	1.9203E-06	0.00014726
Cluster	Cluster -810	GOCC name	intracellular non-membrane-bounded organelle	3278	364	908	138	1.3687	1.9203E-06	0.00014726
Cluster	Cluster -810	GOCC	GO:0043228	3278	364	908	138	1.3687	1.9203E-06	0.00014726
Cluster	Cluster -810	GOBP	GO:0034641	3278	364	1342	197	1.322	2.3697E-08	8.1417E-06
Cluster	Cluster -810	GOBP name	cellular nitrogen compound metabolic process	3278	364	1342	197	1.322	2.3697E-08	8.1417E-06
Cluster	Cluster -810	GOBP name	nitrogen compound metabolic process	3278	364	1360	199	1.3177	2.447E-08	8.2118E-06
Cluster	Cluster -810	GOBP	GO:0006807	3278	364	1360	199	1.3177	2.447E-08	8.2118E-06
Cluster	Cluster -810	GOCC name	cytosol	3278	364	1126	164	1.3116	1.9396E-06	0.00014726
Cluster	Cluster -810	GOCC	GO:0005829	3278	364	1126	164	1.3116	1.9396E-06	0.00014726
Cluster	Cluster -808	GOMF	GO:0003824	3278	448	1372	241	1.2853	1.2638E-08	1.6516E-05
Cluster	Cluster -808	GOMF name	catalytic activity	3278	448	1372	241	1.2853	1.2638E-08	1.6516E-05
Cluster	Cluster -810	GOBP	GO:0071841	3278	364	1179	162	1.2374	8.0701E-05	0.010397
Cluster	Cluster -810	GOBP name	cellular component organization or biogenesis at cellular level	3278	364	1179	162	1.2374	8.0701E-05	0.010397
Cluster	Cluster -810	GOCC name	extracellular region part	3278	364	1125	154	1.2328	0.00016066	0.0063245
Cluster	Cluster -810	GOCC	GO:0044421	3278	364	1125	154	1.2328	0.00016066	0.0063245
Cluster	Cluster -810	GOBP	GO:0071840	3278	364	1339	179	1.2039	0.00013545	0.016424
Cluster	Cluster -810	GOBP name	cellular component organization or biogenesis	3278	364	1339	179	1.2039	0.00013545	0.016424
Cluster	Cluster -810	GOCC	GO:0016020	3278	364	1545	205	1.1949	4.3954E-05	0.0021454
Cluster	Cluster -810	GOCC name	membrane	3278	364	1545	205	1.1949	4.3954E-05	0.0021454
Cluster	Cluster -810	GOCC name	cytoplasm	3278	364	1357	180	1.1945	0.00019991	0.0073955
Cluster	Cluster -810	GOCC	GO:0005737	3278	364	1357	180	1.1945	0.00019991	0.0073955
Cluster	Cluster -810	GOCC	GO:0032991	3278	364	1498	197	1.1843	0.00013126	0.0054915
Cluster	Cluster -810	GOCC name	macromolecular complex	3278	364	1498	197	1.1843	0.00013126	0.0054915
Cluster	Cluster -808	GOCC name	cytoplasmic part	3278	448	2171	350	1.1796	1.2367E-09	1.4913E-07
Cluster	Cluster -808	GOCC	GO:0044444	3278	448	2171	350	1.1796	1.2367E-09	1.4913E-07
Cluster	Cluster -808	GOCC name	membrane-bounded organelle	3278	448	2408	380	1.1547	3.2024E-10	4.1031E-08
Cluster	Cluster -808	GOCC	GO:0043227	3278	448	2408	380	1.1547	3.2024E-10	4.1031E-08
Cluster	Cluster -808	GOCC	GO:0043226	3278	448	2619	396	1.1063	1.3598E-07	1.4672E-05
Cluster	Cluster -808	GOCC name	organelle	3278	448	2619	396	1.1063	1.3598E-07	1.4672E-05
Cluster	Cluster -808	GOCC	GO:0032991	3278	448	1498	169	0.82548	4.9937E-05	0.0023807
Cluster	Cluster -808	GOCC name	macromolecular complex	3278	448	1498	169	0.82548	4.9937E-05	0.0023807
Cluster	Cluster -808	GOBP name	macromolecule metabolic process	3278	448	1711	192	0.82107	4.7038E-06	0.00090501
Cluster	Cluster -808	GOBP	GO:0043170	3278	448	1711	192	0.82107	4.7038E-06	0.00090501
Cluster	Cluster -808	GOBP	GO:0044260	3278	448	1658	177	0.78112	1.1523E-07	3.2603E-05
Cluster	Cluster -808	GOBP name	cellular macromolecule metabolic process	3278	448	1658	177	0.78112	1.1523E-07	3.2603E-05
Cluster	Cluster -808	GOCC name	intracellular non-membrane-bounded organelle	3278	448	908	94	0.75748	0.00010647	0.004644
Cluster	Cluster -808	GOCC name	non-membrane-bounded organelle	3278	448	908	94	0.75748	0.00010647	0.004644
Cluster	Cluster -808	GOCC	GO:0043232	3278	448	908	94	0.75748	0.00010647	0.004644
Cluster	Cluster -808	GOCC	GO:0043228	3278	448	908	94	0.75748	0.00010647	0.004644
Cluster	Cluster -808	GOCC name	nuclear part	3278	448	1374	140	0.74554	1.6802E-07	1.7222E-05
Cluster	Cluster -808	GOCC	GO:0044428	3278	448	1374	140	0.74554	1.6802E-07	1.7222E-05
Cluster	Cluster -810	GOCC name	organelle membrane	3278	364	752	60	0.71852	0.00033812	0.011945
Cluster	Cluster -810	GOCC	GO:0031090	3278	364	752	60	0.71852	0.00033812	0.011945
Cluster	Cluster -808	GOMF name	nucleic acid binding	3278	448	751	67	0.65278	2.3028E-06	0.0014113
Cluster	Cluster -808	GOMF	GO:0003676	3278	448	751	67	0.65278	2.3028E-06	0.0014113
Cluster	Cluster -808	GOBP name	nucleic acid metabolic process	3278	448	1039	90	0.63381	1.484E-09	5.9485E-07
Cluster	Cluster -808	GOBP	GO:0090304	3278	448	1039	90	0.63381	1.484E-09	5.9485E-07
Cluster	Cluster -808	GOBP name	RNA biosynthetic process	3278	448	513	44	0.62758	4.0951E-05	0.0059689
Cluster	Cluster -808	GOBP	GO:0032774	3278	448	513	44	0.62758	4.0951E-05	0.0059689
Cluster	Cluster -808	GOBP	GO:0009059	3278	448	667	55	0.60335	5.8426E-07	0.00013821
Cluster	Cluster -808	GOBP name	macromolecule biosynthetic process	3278	448	667	55	0.60335	5.8426E-07	0.00013821
Cluster	Cluster -808	GOBP name	cellular macromolecule biosynthetic process	3278	448	662	54	0.59685	4.3735E-07	0.00010518
Cluster	Cluster -808	GOBP	GO:0034645	3278	448	662	54	0.59685	4.3735E-07	0.00010518
Cluster	Cluster -808	GOCC	GO:0005730	3278	448	411	33	0.58749	5.9784E-05	0.0027854
Cluster	Cluster -808	GOCC name	nucleolus	3278	448	411	33	0.58749	5.9784E-05	0.0027854
Cluster	Cluster -808	GOBP	GO:0016070	3278	448	876	70	0.58469	8.814E-10	3.8541E-07
Cluster	Cluster -808	GOBP name	RNA metabolic process	3278	448	876	70	0.58469	8.814E-10	3.8541E-07
Cluster	Cluster -808	GOMF name	RNA binding	3278	448	427	34	0.58262	3.5611E-05	0.014142
Cluster	Cluster -808	GOMF	GO:0003723	3278	448	427	34	0.58262	3.5611E-05	0.014142
Cluster	Cluster -808	GOCC name	nucleoplasm part	3278	448	277	18	0.47547	3.9552E-05	0.0019776
Cluster	Cluster -808	GOCC	GO:0044451	3278	448	277	18	0.47547	3.9552E-05	0.0019776
Cluster	Cluster -808	GOBP	GO:0006397	3278	448	250	14	0.40975	1.1794E-05	0.0020023
Cluster	Cluster -808	GOBP name	mRNA processing	3278	448	250	14	0.40975	1.1794E-05	0.0020023
Cluster	Cluster -808	GOBP name	RNA splicing	3278	448	218	12	0.40277	3.524E-05	0.0051889
Cluster	Cluster -808	GOBP	GO:0008380	3278	448	218	12	0.40277	3.524E-05	0.0051889
Cluster	Cluster -808	GOBP name	translation	3278	448	216	11	0.37262	1.5046E-05	0.0023934
Cluster	Cluster -808	GOBP	GO:0006412	3278	448	216	11	0.37262	1.5046E-05	0.0023934
Cluster	Cluster -808	GOBP	GO:0006396	3278	448	410	20	0.35693	4.8757E-10	2.3452E-07
Cluster	Cluster -808	GOBP name	RNA processing	3278	448	410	20	0.35693	4.8757E-10	2.3452E-07
Cluster	Cluster -808	GOBP name	mRNA metabolic process	3278	448	375	17	0.3317	6.1722E-10	2.8731E-07
Cluster	Cluster -808	GOBP	GO:0016071	3278	448	375	17	0.3317	6.1722E-10	2.8731E-07
Cluster	Cluster -810	GOBP	GO:0006508	3278	364	194	7	0.32494	7.5876E-05	0.0099536
Cluster	Cluster -810	GOBP name	proteolysis	3278	364	194	7	0.32494	7.5876E-05	0.0099536
Cluster	Cluster -810	GOBP	GO:0032446	3278	364	177	6	0.30527	9.9718E-05	0.012622
Cluster	Cluster -810	GOBP name	protein modification by small protein conjugation	3278	364	177	6	0.30527	9.9718E-05	0.012622
Cluster	Cluster -810	GOBP	GO:0070647	3278	364	207	7	0.30453	2.4226E-05	0.0036798
Cluster	Cluster -810	GOBP name	protein modification by small protein conjugation or removal	3278	364	207	7	0.30453	2.4226E-05	0.0036798
Cluster	Cluster -808	GOCC	GO:0030529	3278	448	434	17	0.28661	5.3437E-13	1.0955E-10
Cluster	Cluster -808	GOCC name	ribonucleoprotein complex	3278	448	434	17	0.28661	5.3437E-13	1.0955E-10
Cluster	Cluster -808	GOBP name	nuclear-transcribed mRNA catabolic process	3278	448	139	5	0.2632	4.1703E-05	0.0060177
Cluster	Cluster -808	GOBP	GO:0000956	3278	448	139	5	0.2632	4.1703E-05	0.0060177
Cluster	Cluster -808	GOCC	GO:0005681	3278	448	115	4	0.2545	0.0001666	0.0063245
Cluster	Cluster -808	GOCC name	spliceosomal complex	3278	448	115	4	0.2545	0.0001666	0.0063245
Cluster	Cluster -810	GOBP	GO:0019941	3278	364	145	4	0.24843	0.00013269	0.016226
Cluster	Cluster -810	GOBP name	modification-dependent protein catabolic process	3278	364	145	4	0.24843	0.00013269	0.016226
Cluster	Cluster -808	GOBP name	cellular protein complex disassembly	3278	448	148	5	0.24719	1.455E-05	0.0023934
Cluster	Cluster -808	GOBP	GO:0043624	3278	448	148	5	0.24719	1.455E-05	0.0023934
Cluster	Cluster -808	GOBP	GO:0043241	3278	448	149	5	0.24554	1.2925E-05	0.0021687
Cluster	Cluster -808	GOBP name	protein complex disassembly	3278	448	149	5	0.24554	1.2925E-05	0.0021687
Cluster	Cluster -810	GOBP	GO:0043632	3278	364	150	4	0.24015	8.2622E-05	0.010551
Cluster	Cluster -810	GOBP name	modification-dependent macromolecule catabolic process	3278	364	150	4	0.24015	8.2622E-05	0.010551
Cluster	Cluster -810	GOBP	GO:0051603	3278	364	154	4	0.23391	5.6333E-05	0.0078161
Cluster	Cluster -810	GOBP name	proteolysis involved in cellular protein catabolic process	3278	364	154	4	0.23391	5.6333E-05	0.0078161
Cluster	Cluster -808	GOBP	GO:0034623	3278	448	165	5	0.22173	1.8717E-06	0.00040923
Cluster	Cluster -808	GOBP name	cellular macromolecular complex disassembly	3278	448	165	5	0.22173	1.8717E-06	0.00040923
Cluster	Cluster -808	GOBP	GO:0032984	3278	448	166	5	0.22039	1.6552E-06	0.00036746
Cluster	Cluster -808	GOBP name	macromolecular complex disassembly	3278	448	166	5	0.22039	1.6552E-06	0.00036746
Cluster	Cluster -808	GOBP name	translational initiation	3278	448	171	3	0.12837	2.2833E-08	8.036E-06
Cluster	Cluster -808	GOBP	GO:0006413	3278	448	171	3	0.12837	2.2833E-08	8.036E-06
Cluster	Cluster -808	GOCC	GO:0071013	3278	448	70	1	0.10453	0.00034379	0.011945
Cluster	Cluster -808	GOCC name	catalytic step 2 spliceosome	3278	448	70	1	0.10453	0.00034379	0.011945
Cluster	Cluster -808	GOBP name	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	3278	448	96	1	0.076218	9.3743E-06	0.0016496
Cluster	Cluster -808	GOBP	GO:0000184	3278	448	96	1	0.076218	9.3743E-06	0.0016496
Cluster	Cluster -808	GOBP name	translational elongation	3278	448	141	1	0.051893	1.4393E-08	5.3254E-06
Cluster	Cluster -808	GOBP	GO:0006414	3278	448	141	1	0.051893	1.4393E-08	5.3254E-06
Cluster	Cluster -808	GOBP	GO:0006415	3278	448	136	0	0	1.3234E-09	5.6165E-07
Cluster	Cluster -808	GOBP name	translational termination	3278	448	136	0	0	1.3234E-09	5.6165E-07
Cluster	Cluster -808	GOBP	GO:0070125	3278	448	59	0	0	0.0001578	0.018819
Cluster	Cluster -808	GOCC	GO:0015934	3278	448	60	0	0	0.00013584	0.0055695
Cluster	Cluster -808	GOBP name	mitochondrial translational elongation	3278	448	59	0	0	0.0001578	0.018819
Cluster	Cluster -808	KEGG name	Ribosome	3278	448	79	0	0	7.8031E-06	0.0013161
Cluster	Cluster -808	GOMF name	structural constituent of ribosome	3278	448	120	0	0	1.5399E-08	1.6516E-05
Cluster	Cluster -808	GOCC name	large ribosomal subunit	3278	448	60	0	0	0.00013584	0.0055695
Cluster	Cluster -808	KEGG	ko03010	3278	448	79	0	0	7.8031E-06	0.0013161
Cluster	Cluster -808	GOMF	GO:0003735	3278	448	120	0	0	1.5399E-08	1.6516E-05
